,Title,Author,Published,Link
126,Corporate adoption of SDG reporting in a non-enabling institutional environment : Insights from Libyan oil industries,"Al Montaser, T.",Dec 2021,https://pureportal.coventry.ac.uk/en/publications/corporate-adoption-of-sdg-reporting-in-a-non-enabling-institution
127,New Approaches in Assessing CSR & Sustainability Disclosure: Insights into the Updateability of Web-based Data,"Al Montaser, T.",9 Apr 2019,https://pureportal.coventry.ac.uk/en/publications/new-approaches-in-assessing-csr-amp-sustainability-disclosure-ins
128,Editorial: New developments in corporate governance research,"Alsaid, L.",21 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/editorial-new-developments-in-corporate-governance-research
129,Smart city dynamics and multi-level management accounting: unfolding a case of sustainable enterprise resource planning,"Alsaid, L.",3 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/smart-city-dynamics-and-multi-level-management-accounting-unfoldi
130,Performance measurement in smart city governance: A case study of an Egyptian city council,"Alsaid, L.",2021,https://pureportal.coventry.ac.uk/en/publications/performance-measurement-in-smart-city-governance-a-case-study-of-
131,The influence of institutional pressures on the implementation of a performance measurement system in an Egyptian social enterprise,"Alsaid, L.",22 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-institutional-pressures-on-the-implementation-of
132,Accounting and smart cities: New evidence for governmentality and politics,"Alsaid, L.",9 Apr 2020,https://pureportal.coventry.ac.uk/en/publications/accounting-and-smart-cities-new-evidence-for-governmentality-and-
133,Accounting and structural reforms: A case study of Egyptian electricity,"Alsaid, L.",Jan 2018,https://pureportal.coventry.ac.uk/en/publications/accounting-and-structural-reforms-a-case-study-of-egyptian-electr
134,Political and Business Leaderships in Managing Public Service Organisation,"Alsaid, L.",26 Jun 2018,https://pureportal.coventry.ac.uk/en/publications/political-and-business-leaderships-in-managing-public-service-org
135,The Impact of Profit-Sharing Investment Accounts on Shareholders' Wealth,"Baldwin, K.",Nov 2020,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-profit-sharing-investment-accounts-on-shareholders-
136,"A Structural Model of ""Alpha"" for the Capital Adequacy Ratios of Islamic Banks","Baldwin, K.",May 2019,https://pureportal.coventry.ac.uk/en/publications/a-structural-model-of-alpha-for-the-capital-adequacy-ratios-of-is
137,Risk Management in Islamic Banks,"Baldwin, K.",2016,https://pureportal.coventry.ac.uk/en/publications/risk-management-in-islamic-banks-2
138,The Management of Refinancing Risk in Islamic Banks,"Baldwin, K.",17 Aug 2015,https://pureportal.coventry.ac.uk/en/publications/the-management-of-refinancing-risk-in-islamic-banks-2
139,"From Theory to Practice: a new approach to real estate risk, part II","Baldwin, K.",2005,https://pureportal.coventry.ac.uk/en/publications/from-theory-to-practice-a-new-approach-to-real-estate-risk-part-i-2
140,Using Twitter for Collaborative Student and Project Manager Learning: Reflections from a UK Pilot Project,"Barnett-Richards, K.",2016,https://pureportal.coventry.ac.uk/en/publications/using-twitter-for-collaborative-student-and-project-manager-learn-2
